GeneID,ANNOTATION_SYMBOL,NAME,R1 + prov,R2,R3,R4,R5
FBgn0030628,CG9114,-,0.536,1.007,0.667,0.717,0.673
FBgn0030629,CG9123,-,1.442,1.408,2.145,1.450,0.640
FBgn0030630,CG12608,-,9.560,13.955,15.940,17.584,12.620
FBgn0030631,CG6227,-,0.683,1.766,1.699,2.232,2.042
FBgn0030634,CG9164,-,0.472,0.925,0.346,1.301,1.587
FBgn0030638,CG11655,-,2.627,2.488,2.085,3.671,4.367
FBgn0030640,CG6294,-,0.497,0.263,0.109,0.398,0.371
FBgn0030641,CG6299,-,0.000,0.007,0.000,0.017,0.039
FBgn0030642,CG15642,-,0.260,0.633,0.779,0.717,1.324
FBgn0030643,CG15641,-,1.259,3.965,1.328,7.278,10.324
FBgn0030645,CG6308,-,7.871,7.020,7.549,9.713,8.440
FBgn0030646,CG9203,-,0.357,0.907,0.511,0.975,0.877
FBgn0030647,CG6324,-,0.145,0.855,0.126,0.417,2.473
FBgn0030648,CG6340,-,0.753,1.069,1.114,1.652,1.629
FBgn0030653,CG7860,-,1.805,0.584,1.211,1.516,1.967
FBgn0030654,CG15643,-,0.934,1.918,1.201,1.634,2.547
FBgn0030655,CG9213,-,1.224,1.446,1.408,2.089,2.030
FBgn0030657,CG15645,cervantes,2.792,3.737,5.089,4.694,5.689
FBgn0030658,CG7872,-,13.485,13.297,7.076,17.206,20.945
FBgn0030659,CG9215,-,2.084,4.183,5.622,4.393,4.693
FBgn0030660,CG8097,-,8.418,18.489,15.704,19.095,18.708
FBgn0030661,CG8105,-,0.000,0.111,0.016,0.124,0.000
FBgn0030662,CG9220,-,0.084,0.307,0.258,0.638,0.751
FBgn0030663,CG8117,-,0.186,0.368,0.032,0.403,0.252
FBgn0030664,CG8119,-,0.000,0.000,0.000,0.000,0.000
FBgn0030665,CG15646,-,0.000,0.000,0.011,0.025,0.000
FBgn0030666,CG12708,-,0.096,0.131,0.048,0.101,0.056
FBgn0030667,CG15599,-,0.017,0.037,0.018,0.016,0.026
FBgn0030668,CG8128,-,78.139,75.297,43.845,67.804,61.935
FBgn0030669,CG9240,-,43.852,48.461,33.970,47.214,59.739
FBgn0030670,CG9245,Phosphatidylinositol synthase,47.940,97.569,75.589,109.113,165.744
FBgn0030671,CG8134,-,14.263,22.571,22.699,28.997,26.522
FBgn0030672,CG9281,-,6.636,7.638,7.243,8.943,11.478
FBgn0030673,CG15601,-,2.230,4.609,3.972,6.049,4.349
FBgn0030674,CG8184,-,0.234,0.466,0.585,0.612,0.786
FBgn0030675,CG8191,-,2.189,2.574,4.357,2.151,1.506
FBgn0030676,CG12379,-,0.762,1.101,0.805,1.130,0.556
FBgn0030678,CG11679,-,5.005,7.406,8.527,9.621,8.266
FBgn0030679,CG8206,-,85.773,145.845,217.152,224.454,177.324
FBgn0030680,CG8944,-,0.839,1.812,1.771,2.262,2.462
FBgn0030683,CG8239,-,0.693,1.931,1.613,1.486,3.127
FBgn0030684,CG8260,-,0.000,0.084,0.000,0.029,0.070
FBgn0030685,CG8948,GTPase regulator associated with focal adhesion kinase ortholog (H. sapiens),0.669,1.363,1.222,1.613,2.858
FBgn0030686,CG8288,mitochondrial ribosomal protein L3,18.273,25.312,30.665,27.596,20.088
FBgn0030687,CG17209,-,3.359,1.691,2.025,1.562,1.420
FBgn0030688,CG8952,-,473.907,53.785,15.989,12.161,56.577
FBgn0030691,CG8959,EFHC1 homologue 1,0.256,0.259,0.187,0.219,0.337
FBgn0030692,CG8470,mitochondrial ribosomal protein S30,10.668,16.041,22.940,20.539,19.498
FBgn0030693,CG8974,-,13.116,10.768,14.282,9.981,8.886
FBgn0030694,CG15602,-,13.804,22.356,20.870,21.824,22.809
FBgn0030695,CG8995,Peptidoglycan recognition protein LE,18.463,33.752,17.505,31.454,35.852
FBgn0030696,CG8509,-,0.791,1.515,0.036,0.391,1.313
FBgn0030697,CG8565,-,1.948,2.083,0.853,1.444,1.742
FBgn0030699,CG8578,-,5.332,11.996,12.859,12.779,22.838
FBgn0030700,CG15914,-,1.164,1.742,2.340,1.944,1.766
FBgn0030701,CG16952,-,0.787,1.483,1.003,1.793,1.880
FBgn0030703,CG9066,membrane steroid binding protein,24.655,37.238,30.467,34.926,37.963
FBgn0030704,CG15916,-,16.507,27.540,33.622,36.994,30.674
FBgn0030706,CG8909,-,0.342,0.101,0.032,0.096,0.203
FBgn0030707,CG8916,-,0.495,0.373,0.181,0.289,1.383
FBgn0030710,CG8924,-,0.425,0.986,0.607,1.019,0.902
FBgn0030711,CG8928,-,17.646,31.187,35.763,28.054,20.755
FBgn0030715,CG12697,Odorant receptor 13a,0.154,0.052,0.000,0.056,0.000
FBgn0030716,CG9170,-,1.098,2.058,1.334,2.699,3.297
FBgn0030717,CG8931,-,6.111,8.017,8.513,10.628,9.445
FBgn0030718,CG9172,-,48.689,51.838,111.842,49.522,42.555
FBgn0030719,CG9177,eIF5,6.215,9.111,11.166,10.413,9.004
FBgn0030720,CG8939,-,2.426,5.142,7.771,4.911,2.801
FBgn0030721,CG12698,-,0.053,0.052,0.052,0.128,0.188
FBgn0030722,CG12395,-,0.000,0.000,0.000,0.014,0.000
FBgn0030723,CG14948,dpr18,2.231,9.405,5.069,13.960,12.652
FBgn0030724,CG9212,Nipsnap,6.862,7.221,5.238,7.590,7.452
FBgn0030725,CG8958,-,0.180,0.631,0.329,0.526,0.828
FBgn0030729,CG12507,-,0.000,0.000,0.000,0.017,0.180
FBgn0030731,CG3415,peroxisomal Multifunctional enzyme type 2,15.673,18.917,14.988,27.231,44.348
FBgn0030733,CG3560,-,928.636,1241.094,2278.469,1028.330,972.563
FBgn0030734,CG9911,-,19.777,12.908,15.854,15.061,18.240
FBgn0030735,CG3632,-,0.844,1.905,1.720,2.341,3.590
FBgn0030737,CG9914,-,19.479,122.864,1.457,24.163,2.853
FBgn0030738,CG9915,-,4.558,7.218,6.587,9.310,12.300
FBgn0030739,CG13957,-,1.483,5.261,3.847,12.915,6.157
FBgn0030740,CG9917,-,9.055,10.447,8.724,10.847,10.503
FBgn0030742,CG9919,-,3.651,3.121,2.270,3.264,2.946
FBgn0030743,CG9921,-,10.061,7.056,11.237,6.511,3.718
FBgn0030744,CG9992,-,0.507,1.111,1.245,1.376,2.234
FBgn0030745,CG4239,-,0.772,1.620,0.854,2.418,2.204
FBgn0030746,CG9981,-,0.650,1.386,0.524,2.413,3.225
FBgn0030747,CG4301,-,0.778,2.778,2.636,3.535,4.802
FBgn0030748,CG4394,TNF-receptor-associated factor-like,0.696,1.373,0.685,1.892,2.783
FBgn0030749,CG9968,Annexin B11,0.978,0.903,0.863,1.033,0.814
FBgn0030752,CG9947,-,20.113,33.060,42.367,48.060,64.215
FBgn0030753,CG4420,rings lost,8.672,22.519,17.639,20.349,35.048
FBgn0030756,CG9903,-,2.466,2.666,0.539,5.366,1.603
FBgn0030757,CG9902,-,0.100,0.137,0.142,0.123,0.131
FBgn0030758,CG9819,Calcineurin A at 14F,4.967,3.196,2.275,3.515,4.645
FBgn0030759,CG13014,-,9.364,12.399,15.567,14.912,18.148
FBgn0030761,CG9784,-,2.985,5.716,5.330,6.820,5.304
FBgn0030763,CG9782,-,0.688,0.855,0.277,0.396,1.197
FBgn0030764,CG9777,-,0.213,1.246,0.555,1.740,4.434
FBgn0030766,CG4521,methuselah-like 1,0.516,1.015,0.484,1.559,1.318
FBgn0030768,CG9723,-,4.752,6.764,6.090,7.721,6.069
FBgn0030769,CG13012,-,3.885,0.229,0.173,0.483,0.737
FBgn0030770,CG13010,-,0.148,0.237,0.073,0.413,0.429
FBgn0030773,CG9676,-,0.295,0.286,0.158,0.622,1.578
FBgn0030774,CG9675,spheroide,24.125,10.177,1.950,8.385,17.601
FBgn0030775,CG9673,-,38.778,17.304,15.659,29.919,91.762
FBgn0030776,CG4653,-,34.811,7.424,12.378,44.580,119.662
FBgn0030777,CG9672,-,99.710,46.990,48.433,14.753,2.388
FBgn0030778,CG4678,-,0.086,0.025,0.007,0.113,0.233
FBgn0030780,CG13008,-,0.000,0.025,0.009,0.065,0.065
FBgn0030786,CG4742,mitochondrial ribosomal protein L22,23.956,30.244,38.377,34.411,21.446
FBgn0030787,CG9609,-,1.773,2.826,2.621,3.024,2.712
FBgn0030788,CG4756,SIN3-associated polypeptide 30,8.408,11.999,13.081,16.660,19.552
FBgn0030789,CG9606,Rrp45,0.413,0.524,1.000,0.757,0.544
FBgn0030790,CG4768,-,3.108,6.900,6.189,8.662,10.965
FBgn0030791,CG9132,-,3.234,5.668,4.312,6.097,5.691
FBgn0030792,CG4789,-,35.454,32.336,44.694,44.397,44.885
FBgn0030793,CG9125,-,7.590,12.741,11.362,16.922,18.833
FBgn0030794,CG13005,-,0.419,0.683,0.793,0.745,0.738
FBgn0030795,CG4805,pickpocket 28,0.631,1.016,0.673,1.644,2.417
FBgn0030796,CG4829,-,0.055,0.158,0.148,0.317,3.433
FBgn0030797,CG13004,-,2.096,1.353,0.923,3.967,3.293
FBgn0030798,CG13003,-,0.011,0.018,0.013,0.015,0.041
FBgn0030799,CG4872,-,2.248,0.823,0.627,1.721,1.276
FBgn0030800,CG9104,-,3.701,5.800,4.136,8.697,5.751
FBgn0030801,CG4875,Receptor component protein,0.954,1.289,1.483,1.932,1.679
FBgn0030802,CG9099,-,9.238,10.885,8.971,10.297,6.360
FBgn0030803,CG4880,-,0.514,0.566,0.647,0.361,0.415
FBgn0030804,CG13002,-,0.000,0.000,0.000,0.049,0.000
FBgn0030805,CG9089,wurst,1.511,2.815,0.773,0.641,0.254
FBgn0030806,CG13001,-,0.667,2.235,2.172,2.074,1.557
FBgn0030807,CG13000,-,0.627,0.318,0.000,0.200,0.277
FBgn0030808,CG4937,Rho GTPase activating protein at 15B,0.713,1.569,1.061,1.921,3.576
FBgn0030809,CG9086,-,0.093,0.168,0.112,0.191,0.203
FBgn0030810,,,0.473,0.007,0.004,0.011,0.006
FBgn0030811,,,0.035,0.000,0.000,0.000,0.000
FBgn0030812,CG8949,-,0.503,1.206,0.950,1.434,1.666
FBgn0030813,CG4949,-,0.343,0.806,0.747,1.291,1.123
FBgn0030814,CG4955,-,0.019,0.024,0.000,0.000,0.014
FBgn0030815,CG8945,-,0.047,0.115,0.096,0.068,0.152
FBgn0030816,CG16700,-,1.016,9.434,13.464,6.786,2.712
FBgn0030817,CG4991,-,1.688,9.684,10.998,10.684,3.735
FBgn0030823,CG8918,-,0.119,0.171,0.284,0.372,0.757
FBgn0030824,CG5070,-,0.134,1.096,0.315,0.937,2.563
FBgn0030826,CG12995,-,0.257,0.000,0.000,0.000,0.265
FBgn0030827,,,0.159,0.455,0.042,0.402,2.326
FBgn0030828,CG5162,-,0.060,0.044,0.028,0.041,0.140
FBgn0030829,CG12998,-,0.000,0.036,0.040,0.000,0.044
FBgn0030830,CG5172,-,0.764,0.150,0.000,0.129,0.571
FBgn0030832,CG10597,-,0.027,0.075,0.111,0.024,0.014
FBgn0030833,CG8915,-,0.124,0.358,0.363,0.337,0.330
FBgn0030834,CG8675,-,11.564,14.835,17.185,15.462,12.293
FBgn0030836,CG8664,-,0.266,11.748,182.667,0.351,1.364
FBgn0030837,CG8661,-,8.457,8290.322,31925.499,14.987,17.697
FBgn0030838,CG5445,-,1.594,2.647,2.577,2.148,2.187
FBgn0030839,CG5613,-,0.311,0.518,0.920,0.616,0.943
FBgn0030840,CG12993,presidents-cup,0.027,0.044,0.000,0.065,0.175
FBgn0030841,CG8568,-,0.079,0.076,0.019,0.298,1.184
FBgn0030844,CG8527,pickpocket 23,0.005,0.028,0.007,0.332,0.274
FBgn0030846,CG12992,-,0.043,0.064,0.010,0.137,0.010
FBgn0030847,CG12991,-,23.955,47.736,19.318,47.623,71.871
FBgn0030850,CG8408,Stasimon,8.850,11.764,15.482,16.306,23.260
FBgn0030851,CG8326,-,3.503,3.274,4.907,3.323,2.490
FBgn0030852,CG8316,-,0.013,0.200,0.013,0.100,0.116
FBgn0030853,CG5703,-,71.244,86.517,162.453,88.783,67.750
FBgn0030854,CG8289,-,8.783,16.550,13.220,14.307,14.547
FBgn0030855,CG5800,-,0.964,1.532,1.991,1.806,1.651
FBgn0030858,CG8211,Integrator 2,1.345,1.553,1.615,1.989,1.500
FBgn0030859,CG12990,-,1.057,2.560,2.136,2.229,2.898
FBgn0030863,CG8188,-,7.316,8.526,7.170,8.882,8.858
FBgn0030864,CG8173,-,0.240,0.307,0.361,0.283,0.597
FBgn0030868,CG12986,-,0.000,0.090,0.000,0.029,0.000
FBgn0030869,CG8146,Suppressor of Cytokine Signaling at 16D,5.478,13.348,14.213,12.583,14.936
FBgn0030870,CG6398,-,1.466,0.000,0.000,0.015,0.020
FBgn0030871,CG8142,-,3.091,4.475,6.206,6.688,5.205
FBgn0030872,CG6492,Ucp4A,4.475,7.169,9.913,11.014,9.940
FBgn0030873,CG15814,-,5.083,6.938,4.874,9.011,11.936
FBgn0030874,CG6506,-,5.604,8.484,7.870,11.607,8.081
FBgn0030876,CG6762,-,2.021,1.997,1.282,2.065,1.436
FBgn0030877,CG7846,Actin-related protein 8,0.899,0.741,0.821,0.944,0.813
FBgn0030878,CG6769,-,4.113,3.934,5.699,5.989,4.815
FBgn0030880,CG6788,-,0.212,0.648,0.282,0.677,1.292
FBgn0030881,CG12985,-,1.995,3.427,1.004,2.354,6.791
FBgn0030882,CG6835,Glutathione Synthetase,0.000,0.000,0.000,0.000,0.000
FBgn0030883,CG7772,-,9.856,10.503,13.718,11.958,11.943
FBgn0030884,CG6847,-,0.057,0.075,0.067,0.040,0.077
FBgn0030886,CG12672,-,1.015,1.237,4.649,0.390,0.471
FBgn0030887,CG6867,-,0.896,1.900,4.904,1.177,3.930
FBgn0030889,CG15373,-,0.007,0.011,0.047,0.005,0.015
FBgn0030890,CG7536,-,1.043,1.472,2.927,0.509,1.009
FBgn0030891,CG7098,diskette,0.871,1.896,2.301,2.639,2.731
FBgn0030892,CG7206,-,5.405,10.631,10.842,16.377,14.528
FBgn0030893,CG7122,Rho GTPase activating protein at 16F,3.233,6.495,4.881,10.043,20.461
FBgn0030894,CG7192,-,1.014,1.549,2.092,1.465,2.335
FBgn0030895,CG7135,-,0.101,0.193,0.000,0.136,0.087
FBgn0030897,CG5744,Frequenin 1,14.179,30.553,5.574,31.490,33.364
FBgn0030898,CG12611,Andorra,0.000,0.014,0.000,0.000,0.000
FBgn0030899,CG5927,HES-related,0.000,0.000,0.000,0.000,0.000
FBgn0030900,CG15064,Holes in muscle,0.064,0.190,0.000,0.079,0.056
FBgn0030904,CG5988,unpaired 2,0.434,0.144,0.638,1.015,5.037
FBgn0030905,CG15059,-,0.807,3.823,4.057,3.989,0.055
FBgn0030912,CG6023,-,0.702,0.495,0.798,1.086,0.877
FBgn0030913,CG6123,-,0.017,0.068,0.028,0.052,0.046
FBgn0030914,CG6106,-,0.000,0.000,0.000,0.053,0.134
FBgn0030915,CG6179,-,6.503,13.159,6.829,12.530,16.112
FBgn0030918,CG15056,-,0.000,0.026,0.000,0.000,0.165
FBgn0030921,CG6290,-,0.069,0.137,0.000,0.156,0.280
FBgn0030925,CG6361,Hayan,0.056,0.045,0.128,0.066,0.175
FBgn0030926,CG6367,persephone,0.036,0.175,0.078,0.766,1.860
FBgn0030927,CG15046,-,0.271,0.112,0.070,0.021,0.350
FBgn0030928,CG15044,-,19.171,7.649,11.766,11.842,68.530
FBgn0030929,CG15043,-,77.665,29.760,19.730,9.520,10.042
FBgn0030930,CG6394,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2,17.130,0.470,0.721,0.548,0.526
FBgn0030931,CG6318,Rad51D,0.023,0.377,0.093,0.312,0.296
FBgn0030932,CG6461,gamma-glutamyl transpeptidase,9.385,0.954,0.692,3.028,4.414
FBgn0030933,CG6470,-,0.086,0.225,0.269,0.276,0.588
FBgn0030935,,,0.000,0.017,0.098,0.000,0.050
FBgn0030936,CG6481,-,0.043,0.000,0.037,0.057,0.018
FBgn0030937,CG15042,-,0.000,0.000,0.000,0.011,0.000
FBgn0030938,CG15047,-,0.173,0.180,0.085,0.157,0.088
FBgn0030940,CG15040,-,0.000,0.022,0.010,0.015,0.099
FBgn0030941,CG6531,wengen,0.917,0.334,0.230,0.168,0.792
FBgn0030943,CG6540,-,1.114,2.419,1.688,2.469,2.218
FBgn0030944,CG6617,-,14.381,14.985,12.273,17.195,9.196
FBgn0030945,CG6632,Ing3,0.434,0.351,0.280,0.606,0.462
FBgn0030946,CG6659,-,6.467,2.935,2.317,3.104,3.638
FBgn0030947,CG6696,-,0.068,0.000,0.000,0.013,0.000
FBgn0030949,CG6585,Cyp308a1,0.016,0.035,0.000,0.000,0.000
FBgn0030951,CG6873,-,0.000,0.000,0.019,0.000,0.000
FBgn0030952,CG12609,-,0.000,0.000,0.000,0.011,0.000
FBgn0030954,CG32540,Cholecystokinin-like receptor at 17D3,0.900,1.061,3.660,0.176,0.074
FBgn0030955,CG6891,-,38.050,62.130,49.768,88.080,88.269
FBgn0030956,CG18259,-,3.949,6.499,5.419,7.592,7.519
FBgn0030958,CR6900,-,10.114,16.292,13.652,22.163,23.281
FBgn0030959,CG6961,-,2.468,4.623,5.103,6.677,6.766
FBgn0030960,CG7053,-,7.878,25.113,31.451,21.706,18.509
FBgn0030961,CG7058,-,0.054,0.056,0.023,0.029,0.080
FBgn0030963,CG7101,-,1.845,3.377,2.030,3.556,2.918
FBgn0030964,CG7103,PDGF- and VEGF-related factor 1,6.785,4.296,5.015,1.695,5.536
FBgn0030966,CG7280,-,3.252,2.878,4.203,2.890,1.303
FBgn0030968,CG7322,-,8.331,1.503,1.063,2.225,2.488
FBgn0030969,CG7288,-,2.393,4.253,4.767,6.643,6.115
FBgn0030970,CG7326,-,0.042,0.068,0.119,0.132,0.105
FBgn0030973,CG7332,-,3.746,3.787,4.040,7.838,10.884
FBgn0030974,CG7358,-,4.221,5.364,6.001,7.072,7.629
FBgn0030975,CG7349,-,0.000,0.021,0.000,0.008,0.000
FBgn0030976,CG7378,-,1.430,1.386,1.800,1.644,4.194
FBgn0030979,CG14190,-,0.025,0.126,0.052,0.062,0.000
FBgn0030980,CG7406,-,0.187,0.431,0.224,0.332,0.320
FBgn0030981,CG14191,-,0.480,0.723,1.446,0.236,0.452
FBgn0030982,CG7423,-,0.000,0.000,0.000,0.000,0.000
FBgn0030983,CG15882,-,0.632,0.445,0.082,0.061,0.042
FBgn0030984,CG7440,twiggy,1.351,1.179,0.137,0.329,0.312
FBgn0030985,CG15883,Odorant-binding protein 18a,9.289,2.924,12.792,3.145,4.719
FBgn0030989,CG7537,Innexin 5,0.037,0.216,0.073,0.043,0.066
FBgn0030990,CG7556,-,16.833,7.065,5.843,7.070,7.656
FBgn0030991,CG7453,-,6.315,5.699,4.478,7.854,12.401
FBgn0030992,CG33253,-,0.338,0.360,0.084,0.471,0.812
FBgn0030993,CG7635,Mec2,12.686,16.966,33.613,37.399,25.807
FBgn0030994,CG14193,Heterochromatin Protein 1D3 chromoshadow domain,3.161,7.241,3.032,14.614,15.514
FBgn0030995,CG7914,-,2.551,3.680,4.497,3.578,2.262
FBgn0030996,CG14194,-,9.959,15.998,10.818,16.984,17.521
FBgn0030997,CG7990,-,5.241,6.687,3.430,7.805,8.400
FBgn0030998,CG14195,-,9.686,10.553,0.921,26.259,21.606
FBgn0030999,CG7874,Mucin related 18B,0.042,0.043,0.000,0.417,0.347
FBgn0031000,CG7876,Mucin 18B,0.680,0.292,0.224,3.279,3.824
FBgn0031001,CG7884,-,0.092,0.212,0.027,0.178,0.308
FBgn0031002,CG14196,-,8.958,18.792,6.408,22.777,21.383
FBgn0031003,CG7889,-,21.382,38.516,21.281,51.394,48.404
FBgn0031004,CG7992,-,25.063,41.377,20.984,80.899,91.197
FBgn0031005,CG7890,Heparan sulfate 3-O sulfotransferase-B,1.507,1.962,1.044,1.904,1.590
FBgn0031006,CG8002,rapamycin-insensitive companion of Tor,2.583,5.082,4.670,5.286,6.691
FBgn0031008,CG8010,-,10.545,12.221,18.820,17.153,13.216
FBgn0031010,CG8028,-,0.073,0.168,0.066,0.099,0.069
FBgn0031011,CG8034,-,4.888,9.314,11.738,6.393,4.499
FBgn0031012,CG8051,-,7.183,9.304,23.572,3.600,6.125
FBgn0031016,CG12199,kekkon5,1.103,2.964,2.839,4.203,5.425
FBgn0031018,CG12200,-,0.000,0.038,0.000,0.062,0.014
FBgn0031020,CG12202,Nat1,4.596,7.302,9.401,8.480,7.268
FBgn0031021,CG12203,-,18.136,18.607,39.861,22.680,17.472
FBgn0031022,CG12204,-,8.297,10.159,13.677,14.673,14.431
FBgn0031023,CG14200,-,0.221,0.497,0.422,0.502,0.485
FBgn0031026,CG12231,-,0.000,0.018,0.018,0.000,0.000
FBgn0031030,CG14217,Tao,0.459,1.388,1.974,1.614,2.492
FBgn0031031,CG14218,-,0.007,0.010,0.020,0.029,0.021
FBgn0031032,CG14204,-,0.088,0.019,0.033,0.040,0.255
FBgn0031033,CG14219,-,0.008,0.018,0.077,0.285,1.130
FBgn0031034,CG14205,-,0.011,0.051,0.078,0.269,3.680
FBgn0031036,CG14220,-,3.108,4.153,3.739,5.636,6.671
FBgn0031037,CG14207,-,26.737,16.098,12.454,28.028,58.456
FBgn0031038,CG14208,Tyler,0.000,0.000,0.000,0.000,0.000
FBgn0031039,CG14209,Shawn,0.007,0.010,0.015,0.014,0.012
FBgn0031040,CG14210,-,2.446,3.054,3.189,2.628,1.550
FBgn0031041,CG12788,-,0.000,0.000,0.000,0.000,0.000
FBgn0031042,CG14221,-,0.045,0.053,0.054,0.042,0.245
FBgn0031043,CG14222,NAA20 ortholog,4.647,10.423,9.108,12.117,13.475
FBgn0031044,CG14211,MAPK Phosphatase 4,1.862,2.521,2.223,2.913,3.206
FBgn0031045,CG14212,-,3.112,6.192,6.405,6.641,7.470
FBgn0031047,CG14213,Required for cell differentiation 1 ortholog,15.488,28.874,26.272,36.813,35.220
FBgn0031048,CG12237,-,44.984,55.552,41.033,63.742,49.705
FBgn0031049,CG14214,Sec61gamma,116.536,128.067,100.658,137.426,62.435
FBgn0031050,CG12235,Actin-related protein 10,8.435,6.625,10.578,10.192,8.077
FBgn0031051,CG12234,Ranbp21,0.503,1.679,1.437,1.602,1.504
FBgn0031052,CG14215,-,0.175,0.237,0.305,0.382,0.381
FBgn0031053,CG14223,-,0.023,0.148,0.084,0.268,0.143
FBgn0031054,CG14216,Ssu72 ortholog,4.108,6.109,5.150,8.274,8.605
FBgn0031055,CG14225,eye transformer,0.070,0.099,0.053,0.075,0.032
FBgn0031057,CG14224,Ubiquilin,11.652,22.473,24.586,30.513,36.965
FBgn0031058,CG14227,-,0.252,0.898,0.428,0.567,1.109
FBgn0031059,CG14229,-,21.160,39.374,31.117,36.252,30.659
FBgn0031060,CG14231,-,1.001,1.796,3.175,2.217,3.185
FBgn0031061,CG14232,-,5.016,9.108,7.894,10.208,11.227
FBgn0031062,CG14230,-,0.507,1.164,1.608,1.338,1.869
FBgn0031064,CG12531,-,0.343,0.115,0.062,0.049,0.248
FBgn0031065,CG14234,-,0.505,0.103,0.051,0.072,0.112
FBgn0031066,CG14235,Cytochrome c oxidase subunit VIb,118.706,154.262,289.793,180.396,160.993
FBgn0031068,CG12534,Augmenter of liver regeneration,5.443,9.866,8.220,13.601,10.369
FBgn0031069,CG12703,-,14.118,22.335,5.552,22.134,22.692
FBgn0031070,CG12702,-,0.023,0.066,0.031,0.162,0.264
FBgn0031074,CG11942,skpE,0.000,0.000,0.000,0.000,0.000
FBgn0031077,CG15618,-,0.183,0.173,0.200,0.359,0.344
FBgn0031078,CG11943,Nucleoporin 205kD,0.162,0.228,0.324,0.312,0.448
FBgn0031080,CG12655,-,0.025,0.032,0.036,0.038,0.115
FBgn0031081,CG9565,Neprilysin 3,1.133,3.018,4.212,3.085,3.704
FBgn0031082,CG17003,-,0.000,0.000,0.000,0.000,0.036
FBgn0031085,CG9570,-,0.000,0.000,0.000,0.000,0.000
FBgn0031086,CG9571,forkhead domain 19B,0.000,0.000,0.000,0.017,0.000
FBgn0031088,CG15322,-,0.000,0.009,0.000,0.016,0.017
FBgn0031089,CG9572,-,3.429,0.003,0.000,0.014,0.038
FBgn0031090,CG9575,Rab35,0.882,1.365,0.960,2.070,2.536
FBgn0031091,CG9576,PHD finger protein 7 ortholog,0.068,0.123,0.092,0.133,0.529
FBgn0031092,CG9577,-,19.732,19.926,14.018,21.327,39.860
FBgn0031093,CG9581,-,11.085,14.371,13.298,15.543,16.619
FBgn0031094,CG9578,-,10.678,19.907,15.923,22.742,17.203
FBgn0031097,CG17052,obstructor-A,0.111,0.145,0.066,0.197,0.083
FBgn0031098,CG17068,-,2.462,5.331,4.779,5.138,5.524
FBgn0031099,CG17065,-,25.373,29.262,10.709,30.089,30.454
FBgn0031100,CG1504,-,0.275,0.000,0.000,0.020,0.024
FBgn0031101,CG1631,-,0.364,1.122,0.898,0.716,0.115
FBgn0031103,CG12679,-,0.000,0.000,0.000,0.000,0.000
FBgn0031104,CG15460,-,0.741,0.620,0.126,0.714,0.970
FBgn0031106,CG1467,Syntaxin 16,45.399,51.534,41.563,75.612,71.877
FBgn0031107,CG11734,HECT and RLD domain containing protein 2 ortholog (H. sapiens),0.446,0.815,0.844,0.860,0.794
FBgn0031108,CG15459,-,0.000,0.000,0.000,0.000,0.000
FBgn0031109,CG11748,Odorant-binding protein 19a,0.000,0.000,0.000,0.000,0.000
FBgn0031110,CG1670,Odorant-binding protein 19b,0.051,0.053,0.000,0.000,0.079
FBgn0031111,CG15457,Odorant-binding protein 19c,0.000,0.013,0.025,0.000,0.000
FBgn0031114,CG1676,cactin,5.013,5.235,5.339,10.536,12.435
FBgn0031115,CG11710,-,2.583,3.945,2.748,5.038,4.771
FBgn0031116,CG1695,-,0.571,1.779,0.916,2.413,3.452
FBgn0031117,CG1702,Glutathione S transferase T3,10.053,15.662,6.779,19.641,31.595
FBgn0031118,CG1412,Rho GTPase activating protein at 19D,2.591,5.706,3.251,6.116,7.239
FBgn0031119,CG1812,-,0.622,1.072,1.265,1.179,1.308
FBgn0031126,CG1829,Cyp6v1,3.695,11.746,9.502,14.565,23.651
FBgn0031127,CG1835,-,0.606,1.713,1.614,2.306,4.011
FBgn0031128,CG1338,hydra,0.000,0.000,0.000,0.001,0.001
FBgn0031129,CG1324,-,0.015,0.023,0.079,0.068,0.000
FBgn0031130,CG15452,-,0.000,0.035,0.000,0.000,0.000
FBgn0031132,CG15450,-,0.000,0.009,0.000,0.000,0.000
FBgn0031134,CG1314,-,0.000,0.000,0.009,0.054,0.062
FBgn0031135,CR11235,-,0.000,0.000,0.000,0.000,0.000
FBgn0031139,CG11227,-,0.000,0.000,0.005,0.004,0.000
FBgn0031141,CG1304,-,10.522,1.920,7.426,14.252,55.385
FBgn0031142,CG10998,ryder cup,0.827,4.144,0.536,3.653,3.708
FBgn0031143,CG1532,-,60.664,21.396,13.426,14.931,14.593
FBgn0031144,CG1529,-,1.277,2.071,2.293,2.197,2.467
FBgn0031145,CG1740,Nuclear transport factor-2,20.853,31.131,27.590,43.849,56.883
FBgn0031146,CG15449,-,0.000,0.000,0.000,0.000,0.000
FBgn0031148,CG1753,Cystathionine beta-synthase,3.597,5.585,11.646,4.813,3.186
FBgn0031149,CG1518,-,3.498,3.768,3.942,3.681,4.485
FBgn0031150,CG32513,bves,1.635,5.719,3.044,5.649,5.819
FBgn0031155,CG15446,-,0.050,0.036,0.000,0.000,0.035
FBgn0031157,CG1503,-,0.000,0.000,0.000,0.011,0.033
FBgn0031159,CG11566,-,0.000,0.000,0.000,0.000,0.000
FBgn0031161,CG15445,-,1.126,1.056,1.081,1.491,1.295
